"ontoClassPrefLabel","ontoClassURI","ontoClassDefinition","mappedClassURI","mappedClassRelation","ontoParentClassPrefLabel","ontoParentClass","ontoPropertyURI","ontoPropertyPrefLabel","ontoPropertyDatatypeLabel","ontoPropertyDatatype"
"Breedplaatvloer","http://hub.laces.tech/digitalbuildingdata/ils-o-en-e/production/poc-bsdd-publicatie/ad759c79-14ba-4fd5-9683-7983acb9c35e","","https://digitalbuildingdata.tech/nlsfb/b9d55ec5-2599-3a4b-8fbe-85e6da1337b7","isSpecializationOf","23.2* - Vloeren; Constructief","http://hub.laces.tech/digitalbuildingdata/ils-o-en-e/production/poc-bsdd-publicatie/6ed19d7b-aa92-4ae5-a610-cb007299fbfe","http://hub.laces.tech/digitalbuildingdata/ils-o-en-e/production/poc-bsdd-publicatie/1c3156f6-f68e-4d6f-b947-8500bde9e6a2","Massa","string","http://www.w3.org/2001/XMLSchema#string"
"Breedplaatvloer","http://hub.laces.tech/digitalbuildingdata/ils-o-en-e/production/poc-bsdd-publicatie/ad759c79-14ba-4fd5-9683-7983acb9c35e","","https://digitalbuildingdata.tech/nlsfb/98ea9f37-5ab8-3ae9-8932-a900ddb3d8f9","isSpecializationOf","23.2* - Vloeren; Constructief","http://hub.laces.tech/digitalbuildingdata/ils-o-en-e/production/poc-bsdd-publicatie/6ed19d7b-aa92-4ae5-a610-cb007299fbfe","http://hub.laces.tech/digitalbuildingdata/ils-o-en-e/production/poc-bsdd-publicatie/1c3156f6-f68e-4d6f-b947-8500bde9e6a2","Massa","string","http://www.w3.org/2001/XMLSchema#string"
"Breedplaatvloer","http://hub.laces.tech/digitalbuildingdata/ils-o-en-e/production/poc-bsdd-publicatie/ad759c79-14ba-4fd5-9683-7983acb9c35e","","https://digitalbuildingdata.tech/nlsfb/b9d55ec5-2599-3a4b-8fbe-85e6da1337b7","isSpecializationOf","23.2* - Vloeren; Constructief","http://hub.laces.tech/digitalbuildingdata/ils-o-en-e/production/poc-bsdd-publicatie/6ed19d7b-aa92-4ae5-a610-cb007299fbfe","http://hub.laces.tech/digitalbuildingdata/ils-o-en-e/production/poc-bsdd-publicatie/e10cf3a9-4aa4-494b-9884-c15b0830a223","Brandwerendheid","decimal","http://www.w3.org/2001/XMLSchema#decimal"
"Breedplaatvloer","http://hub.laces.tech/digitalbuildingdata/ils-o-en-e/production/poc-bsdd-publicatie/ad759c79-14ba-4fd5-9683-7983acb9c35e","","https://digitalbuildingdata.tech/nlsfb/98ea9f37-5ab8-3ae9-8932-a900ddb3d8f9","isSpecializationOf","23.2* - Vloeren; Constructief","http://hub.laces.tech/digitalbuildingdata/ils-o-en-e/production/poc-bsdd-publicatie/6ed19d7b-aa92-4ae5-a610-cb007299fbfe","http://hub.laces.tech/digitalbuildingdata/ils-o-en-e/production/poc-bsdd-publicatie/e10cf3a9-4aa4-494b-9884-c15b0830a223","Brandwerendheid","decimal","http://www.w3.org/2001/XMLSchema#decimal"
"Breedplaatvloer","http://hub.laces.tech/digitalbuildingdata/ils-o-en-e/production/poc-bsdd-publicatie/ad759c79-14ba-4fd5-9683-7983acb9c35e","","https://digitalbuildingdata.tech/nlsfb/b9d55ec5-2599-3a4b-8fbe-85e6da1337b7","isSpecializationOf","23.2* - Vloeren; Constructief","http://hub.laces.tech/digitalbuildingdata/ils-o-en-e/production/poc-bsdd-publicatie/6ed19d7b-aa92-4ae5-a610-cb007299fbfe","http://hub.laces.tech/digitalbuildingdata/ils-o-en-e/production/poc-bsdd-publicatie/e9eadb93-2b12-4726-9c0e-62d030d20399","Bouwlaag","string","http://www.w3.org/2001/XMLSchema#string"
"Breedplaatvloer","http://hub.laces.tech/digitalbuildingdata/ils-o-en-e/production/poc-bsdd-publicatie/ad759c79-14ba-4fd5-9683-7983acb9c35e","","https://digitalbuildingdata.tech/nlsfb/98ea9f37-5ab8-3ae9-8932-a900ddb3d8f9","isSpecializationOf","23.2* - Vloeren; Constructief","http://hub.laces.tech/digitalbuildingdata/ils-o-en-e/production/poc-bsdd-publicatie/6ed19d7b-aa92-4ae5-a610-cb007299fbfe","http://hub.laces.tech/digitalbuildingdata/ils-o-en-e/production/poc-bsdd-publicatie/e9eadb93-2b12-4726-9c0e-62d030d20399","Bouwlaag","string","http://www.w3.org/2001/XMLSchema#string"
"23.2* - Vloeren; Constructief","http://hub.laces.tech/digitalbuildingdata/ils-o-en-e/production/poc-bsdd-publicatie/6ed19d7b-aa92-4ae5-a610-cb007299fbfe","","https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/class/IfcSlabROOF","isRelatedTo","","","http://hub.laces.tech/digitalbuildingdata/ils-o-en-e/production/poc-bsdd-publicatie/e10cf3a9-4aa4-494b-9884-c15b0830a223","Brandwerendheid","decimal","http://www.w3.org/2001/XMLSchema#decimal"
"23.2* - Vloeren; Constructief","http://hub.laces.tech/digitalbuildingdata/ils-o-en-e/production/poc-bsdd-publicatie/6ed19d7b-aa92-4ae5-a610-cb007299fbfe","","https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/class/IfcSlabFLOOR","isRelatedTo","","","http://hub.laces.tech/digitalbuildingdata/ils-o-en-e/production/poc-bsdd-publicatie/e10cf3a9-4aa4-494b-9884-c15b0830a223","Brandwerendheid","decimal","http://www.w3.org/2001/XMLSchema#decimal"
"23.2* - Vloeren; Constructief","http://hub.laces.tech/digitalbuildingdata/ils-o-en-e/production/poc-bsdd-publicatie/6ed19d7b-aa92-4ae5-a610-cb007299fbfe","","https://digitalbuildingdata.tech/nlsfb/c8ea5146-3737-31d4-a581-f8f69c4ed4d8","isSpecializationOf","","","http://hub.laces.tech/digitalbuildingdata/ils-o-en-e/production/poc-bsdd-publicatie/e10cf3a9-4aa4-494b-9884-c15b0830a223","Brandwerendheid","decimal","http://www.w3.org/2001/XMLSchema#decimal"
"23.2* - Vloeren; Constructief","http://hub.laces.tech/digitalbuildingdata/ils-o-en-e/production/poc-bsdd-publicatie/6ed19d7b-aa92-4ae5-a610-cb007299fbfe","","https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/class/IfcSlabROOF","isRelatedTo","","","http://hub.laces.tech/digitalbuildingdata/ils-o-en-e/production/poc-bsdd-publicatie/e9eadb93-2b12-4726-9c0e-62d030d20399","Bouwlaag","string","http://www.w3.org/2001/XMLSchema#string"
