ontoClassPrefLabel,ontoClassPrefLabelEN,ontoClassURI,ontoClassDefinition,ontoClassCode,mappedClassRelation,mappedClassRelationURI,mappedClassURI,ontoParentClassPrefLabel,ontoParentClassPrefLabelEN,ontoParentClass,ontoPropertyURI,ontoPropertyPrefLabel,ontoPropertyPrefLabelEN,ontoPropertyDatatypeLabel,ontoPropertyDatatype
(2) RUWBOUW,"PRIMARY ELEMENTS, CARCASS",https://digitalbuildingdata.tech/nlsfb/db056c81-6fea-34ed-9f2a-278ab8a6761f,,2,,,,,,,,,,,
(32) Binnenwandopeningen,Internal wall openings,https://digitalbuildingdata.tech/nlsfb/65210722-9052-35cf-b1f2-07562b6e5856,,32,,,,(3) AFBOUW,,https://digitalbuildingdata.tech/nlsfb/56c3572d-1625-394c-a87f-89155b18bb51,,,,,
(3) AFBOUW,SECONDARY ELEMENTS,https://digitalbuildingdata.tech/nlsfb/56c3572d-1625-394c-a87f-89155b18bb51,,3,,,,,,,,,,,
(23.2) vloeren; constructief,"Floors, loadbearing",https://digitalbuildingdata.tech/nlsfb/c8ea5146-3737-31d4-a581-f8f69c4ed4d8,,23.2,,,,(23) Vloeren,,https://digitalbuildingdata.tech/nlsfb/1c8e14ea-851e-39ea-8caf-47b78405f849,,,,,
"(23.21) vloeren; constructief, vrijdragende vloeren","Floors, load bearing, Suspended floor",https://digitalbuildingdata.tech/nlsfb/b9d55ec5-2599-3a4b-8fbe-85e6da1337b7,,23.21,IsChildOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://identifier.buildingsmart.org/uri/buildingsmart/ifc/4.3/class/IfcSlab,(23.2) vloeren; constructief,,https://digitalbuildingdata.tech/nlsfb/c8ea5146-3737-31d4-a581-f8f69c4ed4d8,,,,,
"(23.21) vloeren; constructief, vrijdragende vloeren","Floors, load bearing, Suspended floor",https://digitalbuildingdata.tech/nlsfb/b9d55ec5-2599-3a4b-8fbe-85e6da1337b7,,23.21,IsParentOf,http://www.w3.org/2002/07/owl#inverseOf:http://www.w3.org/2000/01/rdf-schema#subClassOf,https://data.ketenstandaard.nl/stabu/9b6085ef-63a1-4fc6-bc49-122328add1a7,(23.2) vloeren; constructief,,https://digitalbuildingdata.tech/nlsfb/c8ea5146-3737-31d4-a581-f8f69c4ed4d8,,,,,
"(23.21) vloeren; constructief, vrijdragende vloeren","Floors, load bearing, Suspended floor",https://digitalbuildingdata.tech/nlsfb/b9d55ec5-2599-3a4b-8fbe-85e6da1337b7,,23.21,IsParentOf,http://www.w3.org/2002/07/owl#inverseOf:http://www.w3.org/2000/01/rdf-schema#subClassOf,https://data.ketenstandaard.nl/stabu/e8ecd18d-4077-4161-a123-a0bb8c0eaf65,(23.2) vloeren; constructief,,https://digitalbuildingdata.tech/nlsfb/c8ea5146-3737-31d4-a581-f8f69c4ed4d8,,,,,
"(23.21) vloeren; constructief, vrijdragende vloeren","Floors, load bearing, Suspended floor",https://digitalbuildingdata.tech/nlsfb/b9d55ec5-2599-3a4b-8fbe-85e6da1337b7,,23.21,IsParentOf,http://www.w3.org/2002/07/owl#inverseOf:http://www.w3.org/2000/01/rdf-schema#subClassOf,https://data.ketenstandaard.nl/stabu/7e904934-62b6-47e8-9bb8-18317ba4d173,(23.2) vloeren; constructief,,https://digitalbuildingdata.tech/nlsfb/c8ea5146-3737-31d4-a581-f8f69c4ed4d8,,,,,
(32.3) binnenwandopeningen; gevuld met deuren,Internal door openings and doors to fill them,https://digitalbuildingdata.tech/nlsfb/02727c3f-75e7-341e-8ee0-450abc023009,,32.3,IsEqualTo,http://www.w3.org/2002/07/owl#equivalentClass,https://identifier.buildingsmart.org/uri/buildingsmart/ifc/4.3/class/IfcDoor,(32) Binnenwandopeningen,,https://digitalbuildingdata.tech/nlsfb/65210722-9052-35cf-b1f2-07562b6e5856,,,,,
(23) Vloeren,"Floors, galleries",https://digitalbuildingdata.tech/nlsfb/1c8e14ea-851e-39ea-8caf-47b78405f849,,23,,,,(2) RUWBOUW,,https://digitalbuildingdata.tech/nlsfb/db056c81-6fea-34ed-9f2a-278ab8a6761f,,,,,
