ontoClassPrefLabel,ontoClassURI,ontoClassDefinition,mappedClassRelation,mappedClassURI,ontoParentClassPrefLabel,ontoParentClass,ontoPropertyURI,ontoPropertyPrefLabel,ontoPropertyDatatypeLabel,ontoPropertyDatatype
aandrijving,https://otl.waternet.nl/def/5a984ed2-bb7c-3c73-9ef6-7070b549379c,Component dat er voor zorgt dat een machine of machineonderdeel in beweging wordt gebracht. (Bron: Waternet),,,installatiedeel,https://otl.waternet.nl/def/ff631afd-b4bb-3d3e-a14f-bc2733aa3efa,https://otl.waternet.nl/def/7e235565-64ef-3a15-9d35-0fbf7b9aa3b4,global trade identification number,string,http://www.w3.org/2001/XMLSchema#string
aandrijving,https://otl.waternet.nl/def/5a984ed2-bb7c-3c73-9ef6-7070b549379c,Component dat er voor zorgt dat een machine of machineonderdeel in beweging wordt gebracht. (Bron: Waternet),,,installatiedeel,https://otl.waternet.nl/def/ff631afd-b4bb-3d3e-a14f-bc2733aa3efa,https://otl.waternet.nl/def/9c126169-1ba4-3531-bf9d-bbb32ed5f430,omschrijving,string,http://www.w3.org/2001/XMLSchema#string
aandrijving,https://otl.waternet.nl/def/5a984ed2-bb7c-3c73-9ef6-7070b549379c,Component dat er voor zorgt dat een machine of machineonderdeel in beweging wordt gebracht. (Bron: Waternet),,,installatiedeel,https://otl.waternet.nl/def/ff631afd-b4bb-3d3e-a14f-bc2733aa3efa,https://otl.waternet.nl/def/09cdff04-e42b-3b70-a23d-c23e7a3658cc,plaatsingsdatum,date,http://www.w3.org/2001/XMLSchema#date
aandrijving,https://otl.waternet.nl/def/5a984ed2-bb7c-3c73-9ef6-7070b549379c,Component dat er voor zorgt dat een machine of machineonderdeel in beweging wordt gebracht. (Bron: Waternet),,,installatiedeel,https://otl.waternet.nl/def/ff631afd-b4bb-3d3e-a14f-bc2733aa3efa,https://otl.waternet.nl/def/22fe1771-d3c3-3958-873b-e21f8b719b2b,fabrikant,string,http://www.w3.org/2001/XMLSchema#string
aandrijving,https://otl.waternet.nl/def/5a984ed2-bb7c-3c73-9ef6-7070b549379c,Component dat er voor zorgt dat een machine of machineonderdeel in beweging wordt gebracht. (Bron: Waternet),,,installatiedeel,https://otl.waternet.nl/def/ff631afd-b4bb-3d3e-a14f-bc2733aa3efa,https://otl.waternet.nl/def/ec243e6c-a155-3d6c-be4e-eb423826ef1e,tagcode,string,http://www.w3.org/2001/XMLSchema#string
aandrijving,https://otl.waternet.nl/def/5a984ed2-bb7c-3c73-9ef6-7070b549379c,Component dat er voor zorgt dat een machine of machineonderdeel in beweging wordt gebracht. (Bron: Waternet),,,installatiedeel,https://otl.waternet.nl/def/ff631afd-b4bb-3d3e-a14f-bc2733aa3efa,https://otl.waternet.nl/def/34264104-97f8-3956-bcf0-f2bc74448034,type,string,http://www.w3.org/2001/XMLSchema#string
aandrijving,https://otl.waternet.nl/def/5a984ed2-bb7c-3c73-9ef6-7070b549379c,Component dat er voor zorgt dat een machine of machineonderdeel in beweging wordt gebracht. (Bron: Waternet),,,installatiedeel,https://otl.waternet.nl/def/ff631afd-b4bb-3d3e-a14f-bc2733aa3efa,https://otl.waternet.nl/def/e8f4ef80-fffc-3f92-91d9-ae33f0c605d7,naam,string,http://www.w3.org/2001/XMLSchema#string
aandrijving,https://otl.waternet.nl/def/5a984ed2-bb7c-3c73-9ef6-7070b549379c,Component dat er voor zorgt dat een machine of machineonderdeel in beweging wordt gebracht. (Bron: Waternet),,,installatiedeel,https://otl.waternet.nl/def/ff631afd-b4bb-3d3e-a14f-bc2733aa3efa,https://otl.waternet.nl/def/c3c9882c-49b5-33d2-99c7-e0a7aaa94040,installateur,string,http://www.w3.org/2001/XMLSchema#string
aandrijving,https://otl.waternet.nl/def/5a984ed2-bb7c-3c73-9ef6-7070b549379c,Component dat er voor zorgt dat een machine of machineonderdeel in beweging wordt gebracht. (Bron: Waternet),,,installatiedeel,https://otl.waternet.nl/def/ff631afd-b4bb-3d3e-a14f-bc2733aa3efa,https://otl.waternet.nl/def/23d25588-5235-3943-a10a-a120039ca7e8,leverancier,string,http://www.w3.org/2001/XMLSchema#string
aandrijving,https://otl.waternet.nl/def/5a984ed2-bb7c-3c73-9ef6-7070b549379c,Component dat er voor zorgt dat een machine of machineonderdeel in beweging wordt gebracht. (Bron: Waternet),,,installatiedeel,https://otl.waternet.nl/def/ff631afd-b4bb-3d3e-a14f-bc2733aa3efa,https://otl.waternet.nl/def/de592649-bb0a-3f79-9887-1d5bd9179a5b,bouwjaar,gYear,http://www.w3.org/2001/XMLSchema#gYear
aandrijving,https://otl.waternet.nl/def/5a984ed2-bb7c-3c73-9ef6-7070b549379c,Component dat er voor zorgt dat een machine of machineonderdeel in beweging wordt gebracht. (Bron: Waternet),,,installatiedeel,https://otl.waternet.nl/def/ff631afd-b4bb-3d3e-a14f-bc2733aa3efa,https://otl.waternet.nl/def/163a7510-4e37-3da9-a7e7-aeb610b2f9a6,garantie einddatum,date,http://www.w3.org/2001/XMLSchema#date
aandrijving,https://otl.waternet.nl/def/5a984ed2-bb7c-3c73-9ef6-7070b549379c,Component dat er voor zorgt dat een machine of machineonderdeel in beweging wordt gebracht. (Bron: Waternet),,,installatiedeel,https://otl.waternet.nl/def/ff631afd-b4bb-3d3e-a14f-bc2733aa3efa,https://otl.waternet.nl/def/e49f2aad-d8bc-3310-98a9-89ea99e8e56c,serienummer,string,http://www.w3.org/2001/XMLSchema#string
aandrijving,https://otl.waternet.nl/def/5a984ed2-bb7c-3c73-9ef6-7070b549379c,Component dat er voor zorgt dat een machine of machineonderdeel in beweging wordt gebracht. (Bron: Waternet),,,installatiedeel,https://otl.waternet.nl/def/ff631afd-b4bb-3d3e-a14f-bc2733aa3efa,https://otl.waternet.nl/def/43881d1e-42a2-4fd1-a3d0-a900cf6d4bf6,merk,string,http://www.w3.org/2001/XMLSchema#string
aandrijving,https://otl.waternet.nl/def/5a984ed2-bb7c-3c73-9ef6-7070b549379c,Component dat er voor zorgt dat een machine of machineonderdeel in beweging wordt gebracht. (Bron: Waternet),,,installatiedeel,https://otl.waternet.nl/def/ff631afd-b4bb-3d3e-a14f-bc2733aa3efa,https://otl.waternet.nl/def/9a4bdddb-3272-343e-86cc-a4428348c567,aanschafprijs,,
aandrijving,https://otl.waternet.nl/def/5a984ed2-bb7c-3c73-9ef6-7070b549379c,Component dat er voor zorgt dat een machine of machineonderdeel in beweging wordt gebracht. (Bron: Waternet),,,installatiedeel,https://otl.waternet.nl/def/ff631afd-b4bb-3d3e-a14f-bc2733aa3efa,https://otl.waternet.nl/def/e46c97a9-e682-3113-9448-82c3bc586255,bedrijfsstatus,,
aandrijving,https://otl.waternet.nl/def/5a984ed2-bb7c-3c73-9ef6-7070b549379c,Component dat er voor zorgt dat een machine of machineonderdeel in beweging wordt gebracht. (Bron: Waternet),,,installatiedeel,https://otl.waternet.nl/def/ff631afd-b4bb-3d3e-a14f-bc2733aa3efa,https://otl.waternet.nl/def/28ea326e-9545-4943-8e8c-4f8b00d00f80,vervangingswaarde,,
aandrijving,https://otl.waternet.nl/def/5a984ed2-bb7c-3c73-9ef6-7070b549379c,Component dat er voor zorgt dat een machine of machineonderdeel in beweging wordt gebracht. (Bron: Waternet),,,installatiedeel,https://otl.waternet.nl/def/ff631afd-b4bb-3d3e-a14f-bc2733aa3efa,https://otl.waternet.nl/def/91cf505c-7063-329c-9450-58c9b26bdf30,beschermingsklasse,,
aandrijving,https://otl.waternet.nl/def/5a984ed2-bb7c-3c73-9ef6-7070b549379c,Component dat er voor zorgt dat een machine of machineonderdeel in beweging wordt gebracht. (Bron: Waternet),,,installatiedeel,https://otl.waternet.nl/def/ff631afd-b4bb-3d3e-a14f-bc2733aa3efa,https://otl.waternet.nl/def/9a460f0d-21bf-3520-8c8f-f9545b4612ad,vakdiscipline,,
aandrijving,https://otl.waternet.nl/def/5a984ed2-bb7c-3c73-9ef6-7070b549379c,Component dat er voor zorgt dat een machine of machineonderdeel in beweging wordt gebracht. (Bron: Waternet),,,installatiedeel,https://otl.waternet.nl/def/ff631afd-b4bb-3d3e-a14f-bc2733aa3efa,https://otl.waternet.nl/def/3339f0d0-0961-362b-a458-b5aa2abda2ca,technische levensduur,,
aandrijving,https://otl.waternet.nl/def/5a984ed2-bb7c-3c73-9ef6-7070b549379c,Component dat er voor zorgt dat een machine of machineonderdeel in beweging wordt gebracht. (Bron: Waternet),,,installatiedeel,https://otl.waternet.nl/def/ff631afd-b4bb-3d3e-a14f-bc2733aa3efa,https://otl.waternet.nl/def/af6f3ba1-796d-3359-b326-660df67996b7,conditiescore NEN 2767,,
aandrijving,https://otl.waternet.nl/def/5a984ed2-bb7c-3c73-9ef6-7070b549379c,Component dat er voor zorgt dat een machine of machineonderdeel in beweging wordt gebracht. (Bron: Waternet),HasReference,https://identifier.buildingsmart.org/uri/buildingsmart/ifc/4.3/class/IfcActuator,installatiedeel,https://otl.waternet.nl/def/ff631afd-b4bb-3d3e-a14f-bc2733aa3efa,,,,
aandrijving,https://otl.waternet.nl/def/5a984ed2-bb7c-3c73-9ef6-7070b549379c,Component dat er voor zorgt dat een machine of machineonderdeel in beweging wordt gebracht. (Bron: Waternet),IsChildOf,https://otl.waternet.nl/def/ff631afd-b4bb-3d3e-a14f-bc2733aa3efa,installatiedeel,https://otl.waternet.nl/def/ff631afd-b4bb-3d3e-a14f-bc2733aa3efa,,,,
aandrijving,https://otl.waternet.nl/def/5a984ed2-bb7c-3c73-9ef6-7070b549379c,Component dat er voor zorgt dat een machine of machineonderdeel in beweging wordt gebracht. (Bron: Waternet),IsParentOf,https://otl.waternet.nl/def/2290a883-c53b-3574-8164-da6131cf1a32,installatiedeel,https://otl.waternet.nl/def/ff631afd-b4bb-3d3e-a14f-bc2733aa3efa,,,,
aandrijving,https://otl.waternet.nl/def/5a984ed2-bb7c-3c73-9ef6-7070b549379c,Component dat er voor zorgt dat een machine of machineonderdeel in beweging wordt gebracht. (Bron: Waternet),IsParentOf,https://otl.waternet.nl/def/9abb37e8-b40f-396b-a069-a6706864008e,installatiedeel,https://otl.waternet.nl/def/ff631afd-b4bb-3d3e-a14f-bc2733aa3efa,,,,
aandrijving,https://otl.waternet.nl/def/5a984ed2-bb7c-3c73-9ef6-7070b549379c,Component dat er voor zorgt dat een machine of machineonderdeel in beweging wordt gebracht. (Bron: Waternet),IsParentOf,https://otl.waternet.nl/def/9ce46c2e-2cea-39c3-b456-bbc558416867,installatiedeel,https://otl.waternet.nl/def/ff631afd-b4bb-3d3e-a14f-bc2733aa3efa,,,,
aandrijving,https://otl.waternet.nl/def/5a984ed2-bb7c-3c73-9ef6-7070b549379c,Component dat er voor zorgt dat een machine of machineonderdeel in beweging wordt gebracht. (Bron: Waternet),IsParentOf,https://otl.waternet.nl/def/89e5d86c-4218-4209-a960-aea4872b095f,installatiedeel,https://otl.waternet.nl/def/ff631afd-b4bb-3d3e-a14f-bc2733aa3efa,,,,
aandrijving,https://otl.waternet.nl/def/5a984ed2-bb7c-3c73-9ef6-7070b549379c,Component dat er voor zorgt dat een machine of machineonderdeel in beweging wordt gebracht. (Bron: Waternet),IsPartOf,https://otl.waternet.nl/def/4a90f563-cee3-3957-bd60-86b7ccbb9eb1,installatiedeel,https://otl.waternet.nl/def/ff631afd-b4bb-3d3e-a14f-bc2733aa3efa,,,,
aandrijving,https://otl.waternet.nl/def/5a984ed2-bb7c-3c73-9ef6-7070b549379c,Component dat er voor zorgt dat een machine of machineonderdeel in beweging wordt gebracht. (Bron: Waternet),IsPartOf,https://otl.waternet.nl/def/a327f93e-0af1-3dc4-91f2-fae393e26ec9,installatiedeel,https://otl.waternet.nl/def/ff631afd-b4bb-3d3e-a14f-bc2733aa3efa,,,,
aandrijving,https://otl.waternet.nl/def/5a984ed2-bb7c-3c73-9ef6-7070b549379c,Component dat er voor zorgt dat een machine of machineonderdeel in beweging wordt gebracht. (Bron: Waternet),IsPartOf,https://otl.waternet.nl/def/be253d8a-8652-3a7b-a816-7bf0d25fba35,installatiedeel,https://otl.waternet.nl/def/ff631afd-b4bb-3d3e-a14f-bc2733aa3efa,,,,
aandrijving,https://otl.waternet.nl/def/5a984ed2-bb7c-3c73-9ef6-7070b549379c,Component dat er voor zorgt dat een machine of machineonderdeel in beweging wordt gebracht. (Bron: Waternet),IsPartOf,https://otl.waternet.nl/def/f4d8d25a-eebf-3cd9-83f6-ffc8590cb878,installatiedeel,https://otl.waternet.nl/def/ff631afd-b4bb-3d3e-a14f-bc2733aa3efa,,,,
aandrijving,https://otl.waternet.nl/def/5a984ed2-bb7c-3c73-9ef6-7070b549379c,Component dat er voor zorgt dat een machine of machineonderdeel in beweging wordt gebracht. (Bron: Waternet),IsPartOf,https://otl.waternet.nl/def/393cd7c9-c821-3bde-b2db-9a84aeb33356,installatiedeel,https://otl.waternet.nl/def/ff631afd-b4bb-3d3e-a14f-bc2733aa3efa,,,,
aanrijdbeveiliging,https://otl.waternet.nl/def/4c0866f8-2c6e-31ab-96ad-7ecfaea6d3ca,Object wat een constructie moet beschermen tegen beschadiging door aanrijdingen. (Bron: Waternet),,,constructie,https://otl.waternet.nl/def/385ca5bb-4f8b-3fae-bb89-0af7c6fba18c,https://otl.waternet.nl/def/9c126169-1ba4-3531-bf9d-bbb32ed5f430,omschrijving,string,http://www.w3.org/2001/XMLSchema#string
aanrijdbeveiliging,https://otl.waternet.nl/def/4c0866f8-2c6e-31ab-96ad-7ecfaea6d3ca,Object wat een constructie moet beschermen tegen beschadiging door aanrijdingen. (Bron: Waternet),,,constructie,https://otl.waternet.nl/def/385ca5bb-4f8b-3fae-bb89-0af7c6fba18c,https://otl.waternet.nl/def/09cdff04-e42b-3b70-a23d-c23e7a3658cc,plaatsingsdatum,date,http://www.w3.org/2001/XMLSchema#date
aanrijdbeveiliging,https://otl.waternet.nl/def/4c0866f8-2c6e-31ab-96ad-7ecfaea6d3ca,Object wat een constructie moet beschermen tegen beschadiging door aanrijdingen. (Bron: Waternet),,,constructie,https://otl.waternet.nl/def/385ca5bb-4f8b-3fae-bb89-0af7c6fba18c,https://otl.waternet.nl/def/163a7510-4e37-3da9-a7e7-aeb610b2f9a6,garantie einddatum,date,http://www.w3.org/2001/XMLSchema#date
aanrijdbeveiliging,https://otl.waternet.nl/def/4c0866f8-2c6e-31ab-96ad-7ecfaea6d3ca,Object wat een constructie moet beschermen tegen beschadiging door aanrijdingen. (Bron: Waternet),,,constructie,https://otl.waternet.nl/def/385ca5bb-4f8b-3fae-bb89-0af7c6fba18c,https://otl.waternet.nl/def/22fe1771-d3c3-3958-873b-e21f8b719b2b,fabrikant,string,http://www.w3.org/2001/XMLSchema#string
aanrijdbeveiliging,https://otl.waternet.nl/def/4c0866f8-2c6e-31ab-96ad-7ecfaea6d3ca,Object wat een constructie moet beschermen tegen beschadiging door aanrijdingen. (Bron: Waternet),,,constructie,https://otl.waternet.nl/def/385ca5bb-4f8b-3fae-bb89-0af7c6fba18c,https://otl.waternet.nl/def/4a5b2ecc-92c8-4584-b3d4-fecd0827c9f0,verwachte levensduur,string,http://www.w3.org/2001/XMLSchema#string
aanrijdbeveiliging,https://otl.waternet.nl/def/4c0866f8-2c6e-31ab-96ad-7ecfaea6d3ca,Object wat een constructie moet beschermen tegen beschadiging door aanrijdingen. (Bron: Waternet),,,constructie,https://otl.waternet.nl/def/385ca5bb-4f8b-3fae-bb89-0af7c6fba18c,https://otl.waternet.nl/def/b114c76b-3fb0-4ea0-b96b-8c88b52e5c60,onderhoudsniveau,string,http://www.w3.org/2001/XMLSchema#string
aanrijdbeveiliging,https://otl.waternet.nl/def/4c0866f8-2c6e-31ab-96ad-7ecfaea6d3ca,Object wat een constructie moet beschermen tegen beschadiging door aanrijdingen. (Bron: Waternet),,,constructie,https://otl.waternet.nl/def/385ca5bb-4f8b-3fae-bb89-0af7c6fba18c,https://otl.waternet.nl/def/c4783051-8e27-462b-a166-f2518f5efcd1,fabricagejaar,gYear,http://www.w3.org/2001/XMLSchema#gYear
